row_id,request_key,case_id,phase,action_type,status,syntax,defects,declared_outcome,reason,themes,identical_decoded_pixels,token_count,limit_hit,ended_with_eos,raw_response,source_path,source_sha256
browser_use_base,4d83645acb43fed213df4476d532101ff0a3cb101011aa4349a04b02feb0d7dc,gold_v16_40k_000063__step_0000,interaction_assessment,CLICK,abstention,json,invalid_failure_label,ABSTAIN,Insufficient evidence to determine the outcome of the action.,uncertainty_language,False,36,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""Insufficient evidence to determine the outcome of the action."", ""failure_type_4"": ""ABSTAIN""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/4d83645acb43fed213df4476d532101ff0a3cb101011aa4349a04b02feb0d7dc.json,508523dd199e61b4356fd6a47b655275befbae10477ebeb2272b013b17c4e0b6
browser_use_base,bb7d5bd2a2479cb21436cec53e2344c213eead6ce0b61dc05f419a3a129fa049,gold_v16_40k_000063__step_0000,recovery_assessment,NAVIGATE,valid,json,,FAILURE,"The screenshot shows a Microsoft page, not the requested site dzen.ru.",,False,28,False,True,"{""outcome_label"": ""FAILURE"", ""reason"": ""The screenshot shows a Microsoft page, not the requested site dzen.ru.""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/bb7d5bd2a2479cb21436cec53e2344c213eead6ce0b61dc05f419a3a129fa049.json,db59c92bad4aaf08f235d8675c3ed8453fdb5576a1843718ef337dbfbcbb3636
browser_use_base,f3f99de000dec90f1c5bdc35968e4463733deae9adfb9165b5ace9886d86bef8,gold_v16_40k_000068__step_0000,interaction_assessment,TYPE,abstention,json,,ABSTAIN,No change in the screenshot is observed.,no_change_language,False,31,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""No change in the screenshot is observed."", ""failure_type_4"": ""NONE""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/f3f99de000dec90f1c5bdc35968e4463733deae9adfb9165b5ace9886d86bef8.json,239da27ac4c2801da9280de1f31c39742cfb9d559685fdaaafb4d31c988e6b2c
browser_use_base,6c042c159c70ad54edf129b2f6af3deb2a83395dadcb7fcdef12343ecfa1cd63,gold_v16_40k_000068__step_0000,recovery_assessment,TYPE,abstention,json,,ABSTAIN,Insufficient evidence to determine the outcome.,uncertainty_language,False,23,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""Insufficient evidence to determine the outcome.""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/6c042c159c70ad54edf129b2f6af3deb2a83395dadcb7fcdef12343ecfa1cd63.json,327cc217b601066bae7a132febb9ed944983404b8f77a83fba2f2ced17ffdcb1
browser_use_base,7411e9fe1687c3231ace9a445122d8e17dfb222a9ac4c4475df580e5c763e8cd,gold_v16_40k_000095__step_0001,interaction_assessment,CLICK,abstention,json,invalid_failure_label,ABSTAIN,No change observed in the provided screenshots.,no_change_language,True,33,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""No change observed in the provided screenshots."", ""failure_type_4"": ""ABSTAIN""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/7411e9fe1687c3231ace9a445122d8e17dfb222a9ac4c4475df580e5c763e8cd.json,ce4e456fc2ecc4a0411d4afba836b28b0acd57cd0a60fdc80f3c68ed0c034da4
browser_use_base,a6c861ad52801b2efac7dea58f33d144e7fe3a0335c56b46b8c904d12564d3b0,gold_v16_40k_000095__step_0001,recovery_assessment,CLICK,abstention,json,,ABSTAIN,Insufficient evidence to determine the outcome.,uncertainty_language,True,23,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""Insufficient evidence to determine the outcome.""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/a6c861ad52801b2efac7dea58f33d144e7fe3a0335c56b46b8c904d12564d3b0.json,feef734c4756b1fbc90e68e3108eef19f080a08278dc3ece781948ce8dbab2c2
browser_use_base,73b6c9c4dc768c7f08c5d6978ecb70e23421a90d04a7e914865e1c696020bc13,gold_v16_40k_000110__step_0001,interaction_assessment,SCROLL,abstention,json,,ABSTAIN,No change observed in the screenshots provided.,no_change_language,False,31,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""No change observed in the screenshots provided."", ""failure_type_4"": ""NONE""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/73b6c9c4dc768c7f08c5d6978ecb70e23421a90d04a7e914865e1c696020bc13.json,631f4790dc2d27e8c85fd0abc9cd1ded3b88e4aa3c77c459a84168081140b788
browser_use_base,d78198d52152736e099e3bec8940d67a9344759cecabfd35e4e35108611696ec,gold_v16_40k_000110__step_0001,recovery_assessment,SCROLL,abstention,json,,ABSTAIN,Insufficient evidence to determine the outcome of the scroll action.,uncertainty_language,False,27,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""Insufficient evidence to determine the outcome of the scroll action.""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/d78198d52152736e099e3bec8940d67a9344759cecabfd35e4e35108611696ec.json,5d7707f25133758232323d174524f9ea3e23463d272303f0596948774aedd396
browser_use_base,149020b577769171ccb9904b6e7b730d31b2601d917a6ccded20c71b20dd5fdc,gold_v16_40k_000120__step_0002,interaction_assessment,NAVIGATE,abstention,json,,ABSTAIN,No change in the screenshot provided.,no_change_language,True,30,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""No change in the screenshot provided."", ""failure_type_4"": ""NONE""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/149020b577769171ccb9904b6e7b730d31b2601d917a6ccded20c71b20dd5fdc.json,cc1c38086973182f76b5bbca3abbad05085dabce041bc53d3cd7dece5d075c2d
browser_use_base,5cd2c064a7581cdff44afe1553602c50bb5f8dda5d7c8042f14ae76c5d662aba,gold_v16_40k_000233__step_0000,interaction_assessment,PRESS_KEY,abstention,json,,ABSTAIN,No observable change in the screenshot provided.,no_change_language,True,31,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""No observable change in the screenshot provided."", ""failure_type_4"": ""NONE""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_base/5cd2c064a7581cdff44afe1553602c50bb5f8dda5d7c8042f14ae76c5d662aba.json,42a4dae2f2f307f468672aa84904ec9088037aac3f0c3185ff783c6121828365
